emp_id,age
10005,50
10056,40
20103,41
10057,41
10064,45
10066,31
10070,32
10074,35
10395,35
10075,35
10077,35
10081,42
10082,37
10083,45
10084,45
10087,29
10090,53
10091,44
10092,41
10093,41
10095,39
10111,33
10115,39
10127,37
10130,38
10456,38
10138,41
10140,39
10142,42
10149,34
10151,43
10152,49
10157,36
10164,41
10166,31
10169,28
10172,35
10173,40
10175,40
10179,35
10181,28
10182,35
10183,38
10184,29
10185,42
10186,43
10187,31
10189,48
10192,32
10194,27
10195,41
10197,31
10198,53
10199,27
10302,43
10202,29
10203,34
10204,32
10205,36
10206,32
10207,42
10208,38
10209,44
10210,36
10211,42
10212,54
10213,38
10214,38
10215,35
10216,43
10217,48
10218,39
10219,32
10220,33
10222,29
10223,38
10224,36
10227,39
10228,44
10232,32
10233,47
10234,42
10235,33
10236,41
10237,38
10239,39
10240,40
20038,46
10241,36
10299,42
10243,30
10339,34
10244,36
10246,40
10247,36
10248,30
10249,29
10250,46
10252,33
10255,32
10256,28
10257,35
10258,47
20061,43
10259,30
10260,42
20001,37
20002,42
20003,44
20007,42
20009,38
20010,32
20011,40
20013,36
20015,47
20016,33
20018,41
20019,32
20021,36
20022,36
20023,29
30003,39
30004,45
30005,44
30006,45
30007,33
30009,32
30010,27
30013,41
30014,41
30015,31
30016,41
30017,34
30018,32
30019,46
30020,41
30021,31
30022,42
30023,40
30024,43
30025,43
30026,30
30027,29
30028,39
30029,33
30032,31
30033,31
30034,36
30035,33
30036,48
30037,38
30038,44
30039,42
30040,36
30041,43
30042,36
30043,50
30044,48
30045,37
30046,34
30047,32
30048,30
30049,32
10261,41
10263,42
10265,44
10266,30
20026,34
20027,39
20028,34
20029,32
20030,35
10268,41
20033,35
20031,33
20032,35
20034,38
20035,33
30050,41
30051,40
30052,43
30053,47
30054,42
30056,45
10271,42
10272,38
10273,34
30057,43
10274,41
10275,46
10277,31
10276,32
10278,31
20037,29
10279,28
10280,30
10281,36
10282,33
10283,31
10284,27
10285,32
10286,31
10287,29
10288,29
10290,28
10292,28
10293,31
10294,30
10295,36
10296,29
10297,28
10291,27
10289,30
10298,29
10300,34
30070,43
20039,41
10301,39
20042,32
10313,36
30083,37
20044,44
20045,40
20046,33
10305,41
20047,42
10307,43
10308,30
20048,40
10309,31
30087,41
30089,44
30090,36
10311,28
30091,43
30092,38
20050,41
10310,31
10312,33
30093,33
30094,37
30096,34
30097,57
30098,38
30099,40
30100,39
30101,40
30103,43
30104,40
30105,31
30106,42
30107,31
30108,31
10314,42
10315,34
10317,42
10316,26
10318,41
10322,29
10333,29
10324,40
10325,41
10326,41
10327,46
10328,44
10329,35
10356,46
10422,28
10331,30
10330,31
10332,26
20054,29
10334,32
10335,29
10336,29
20055,40
10338,47
10342,32
10425,43
10345,35
20056,41
20057,36
20058,36
20059,32
20060,32
10346,36
10348,32
20062,33
10372,38
10495,43
10361,38
10366,35
20102,43
20104,40
10368,45
10369,35
10371,28
10376,40
10374,46
10373,46
10375,43
10377,29
10378,25
10409,34
10379,27
10380,27
10381,25
10382,26
10383,24
10384,37
10386,26
10385,21
10387,27
10388,34
10389,36
10390,28
10501,44
10404,31
10402,36
10403,40
10405,42
10407,36
10408,39
10410,34
10411,37
10420,53
10413,35
10416,24
10417,41
10418,32
10493,34
10419,22
10496,33
10421,41
10494,23
10424,42
10423,35
10426,25
10427,42
10431,43
10428,45
10429,25
10430,27
10502,21
10432,41
10506,20
10505,44
10434,29
10435,34
10440,43
10436,24
10437,22
10438,25
10439,43
10441,26
10442,26
10443,26
10444,24
10445,22
10446,23
10447,24
10448,25
10449,23
10450,25
10451,21
10452,22
10453,24
10454,25
10497,43
10457,35
10460,29
10458,26
10459,27
10482,36
10461,35
10465,32
10474,30
10475,26
10476,24
10477,37
10478,22
10492,34
10483,42
10491,38
10484,31
10489,42
10498,22
10499,34
10503,25
10504,29
10508,21
10509,23
10510,31
10511,29
10516,32
10515,32
10518,41
10519,39
10520,32
10522,43
10523,30
