emp_id,DEP
10056,0
10064,5
10074,3
10075,2
10081,2
10082,6
10091,7
10093,7
10111,3
10130,4
10142,3
10149,5
10164,2
10175,1
10179,5
10182,0
10187,4
10194,0
10203,3
10204,0
10217,3
10233,2
10236,1
10252,0
10258,1
10260,3
10266,5
10269,0
10275,3
10280,2
10285,0
10291,9
10292,11
10296,3
10306,3
10321,0
10328,4
10329,0
10330,0
10331,5
10335,7
10336,5
10341,0
10356,0
10359,6
10366,7
10369,3
10371,4
10373,1
10381,0
10382,0
10384,3
10385,8
10386,6
10389,1
10403,0
10405,7
10408,1
10413,3
10417,6
10418,4
10419,8
10421,5
10423,0
10426,0
10429,7
10430,0
10432,15
10434,0
10437,9
10438,0
10442,8
10445,8
10447,0
10449,0
10450,0
10451,0
10452,0
10455,1
10458,0
10461,5
10476,0
10477,3
10482,1
10484,0
10494,0
10496,0
10497,0
10498,5
10500,0
10502,6
10503,0
10504,8
10506,0
10507,5
10508,0
10509,6
10511,0
10515,0
10516,2
10518,0
10522,5
10523,1
20054,0
20061,0
30009,0
30026,2
30039,6
30057,0
