emp_id,ML
10056,1
10064,1
10074,1
10075,1
10081,1
10082,2
10091,1
10093,4
10111,1
10130,1
10142,1
10149,1
10164,1
10175,1
10179,1
10182,1
10187,1
10194,1
10203,1
10204,1
10217,1
10233,1
10236,4
10252,1
10258,1
10260,1
10266,1
10269,1
10275,1
10280,1
10285,1
10291,2
10292,7
10296,1
10306,3
10321,1
10328,1
10329,1
10330,1
10331,1
10335,1
10336,1
10341,1
10356,1
10359,3
10366,1
10369,2
10371,1
10373,1
10381,1
10382,1
10384,1
10385,1
10386,2
10389,1
10403,1
10405,2
10408,1
10413,1
10417,1
10418,1
10419,1
10421,1
10423,1
10426,2
10429,1
10430,1
10432,7
10434,4
10437,4
10438,1
10442,3
10445,3
10447,3
10449,1
10450,3
10451,2
10452,1
10455,1
10458,1
10461,5
10476,2
10477,1
10482,1
10484,1
10494,3
10496,2
10497,1
10498,1
10500,5
10502,1
10503,2
10504,2
10506,1
10507,4
10508,2
10509,5
10511,2
10515,1
10516,1
10518,2
10522,1
10523,1
20054,1
20061,1
30009,1
30026,4
30039,1
30057,1
