사번,조직의 목표달성,수익성 지향,업무수행능력,혁신/창의력,자기계발의지,판단력,책임감,협조성,소통,위기대응
10233,9.8 ,10.0 ,9.8 ,9.0 ,9.0 ,9.5 ,10.0 ,9.5 ,9.0 ,9.5 
10358,7.5 ,6.5 ,7.5 ,7.0 ,7.5 ,7.5 ,7.5 ,8.0 ,8.0 ,8.0 
10232,9.0 ,8.0 ,8.5 ,8.0 ,8.0 ,8.5 ,8.5 ,8.0 ,8.0 ,8.0 
10384,8.0 ,7.0 ,8.0 ,6.5 ,7.5 ,8.0 ,8.0 ,7.5 ,7.0 ,8.0 
10203,9.0 ,9.0 ,9.0 ,8.0 ,9.0 ,9.0 ,9.0 ,9.0 ,9.0 ,9.0 
10179,8.0 ,8.5 ,9.0 ,7.0 ,7.5 ,7.5 ,9.5 ,10.0 ,8.5 ,8.5 
10260,8.5 ,8.5 ,9.0 ,9.0 ,9.0 ,9.0 ,8.0 ,8.0 ,8.0 ,8.5 
10432,8.5 ,8.7 ,8.0 ,8.0 ,8.5 ,8.0 ,8.5 ,8.5 ,9.5 ,7.5 
10336,9.0 ,9.0 ,9.3 ,9.0 ,9.0 ,9.3 ,9.5 ,9.2 ,9.2 ,9.0 
10064,9.5 ,8.0 ,8.0 ,9.0 ,9.5 ,9.0 ,9.0 ,8.0 ,9.5 ,8.0 
10407,9.6 ,9.5 ,9.5 ,9.5 ,9.0 ,9.6 ,9.5 ,9.5 ,9.5 ,9.4 
10385,8.0 ,7.5 ,8.0 ,8.0 ,8.0 ,8.5 ,8.5 ,9.0 ,9.0 ,7.5 
10266,9.5 ,8.0 ,9.5 ,7.7 ,9.0 ,9.5 ,9.5 ,9.5 ,8.5 ,9.5 
10359,10.0 ,9.0 ,9.5 ,8.5 ,9.5 ,9.0 ,10.0 ,9.5 ,9.5 ,9.5 
10182,9.0 ,8.0 ,9.5 ,9.5 ,9.0 ,9.5 ,10.0 ,9.5 ,8.5 ,9.0 
10056,9.5 ,9.9 ,8.5 ,9.0 ,8.5 ,9.2 ,9.5 ,8.5 ,8.9 ,9.0 
10208,9.5 ,9.0 ,9.5 ,8.0 ,9.6 ,9.5 ,9.5 ,9.0 ,9.5 ,9.0 
10339,9.0 ,10.0 ,9.5 ,9.5 ,9.7 ,9.5 ,9.8 ,9.8 ,9.8 ,9.5 
10286,8.5 ,8.3 ,8.5 ,8.7 ,8.0 ,7.5 ,9.0 ,8.8 ,9.5 ,9.2 
10335,8.0 ,8.0 ,9.0 ,9.0 ,9.0 ,7.0 ,9.0 ,8.0 ,8.0 ,8.0 
10341,9.5 ,9.0 ,9.5 ,7.5 ,9.0 ,9.5 ,10.0 ,9.5 ,9.0 ,9.5 
10389,9.5 ,9.1 ,9.0 ,8.5 ,8.9 ,9.3 ,9.5 ,9.0 ,9.5 ,9.2 
10252,10.0 ,9.0 ,9.5 ,8.0 ,8.5 ,9.5 ,10.0 ,9.5 ,9.0 ,10.0 
10328,9.5 ,9.0 ,9.5 ,9.0 ,9.0 ,9.5 ,9.5 ,9.5 ,9.5 ,9.0 
10280,10.0 ,9.5 ,9.5 ,8.5 ,10.0 ,9.5 ,9.5 ,10.0 ,9.0 ,9.0 
10074,9.0 ,9.0 ,9.0 ,9.0 ,9.5 ,9.0 ,9.0 ,9.5 ,9.0 ,9.5 
10321,8.0 ,6.0 ,8.0 ,7.5 ,8.0 ,8.0 ,8.0 ,7.0 ,6.5 ,7.0 
10378,9.4 ,8.0 ,7.0 ,8.0 ,8.0 ,9.0 ,9.5 ,9.0 ,9.0 ,9.0 
10379,8.0 ,8.0 ,5.0 ,8.0 ,8.0 ,8.0 ,9.0 ,9.5 ,9.5 ,7.0 
10291,9.5 ,9.0 ,9.0 ,9.0 ,9.5 ,9.5 ,9.5 ,9.0 ,9.5 ,9.0 
10149,9.0 ,9.0 ,9.5 ,9.0 ,9.0 ,9.5 ,9.5 ,9.0 ,9.0 ,9.5 
10364,9.0 ,9.0 ,8.0 ,8.0 ,8.0 ,8.0 ,9.5 ,9.0 ,8.0 ,8.0 
10269,7.0 ,8.5 ,7.0 ,6.5 ,7.5 ,8.0 ,8.5 ,8.0 ,6.4 ,7.0 
10187,8.5 ,8.0 ,9.0 ,7.5 ,8.0 ,8.5 ,8.5 ,8.5 ,8.5 ,8.0 
10175,7.5 ,8.5 ,8.5 ,7.5 ,7.5 ,8.5 ,8.0 ,8.5 ,7.5 ,8.0 
10292,9.0 ,8.5 ,9.0 ,8.0 ,9.0 ,9.0 ,9.5 ,10.0 ,10.0 ,8.5 
10093,9.5 ,8.5 ,10.0 ,7.5 ,8.0 ,9.0 ,10.0 ,9.5 ,10.0 ,9.0 
10403,9.0 ,9.0 ,9.0 ,9.0 ,8.0 ,9.0 ,9.5 ,9.0 ,8.0 ,9.0 
10330,7.0 ,8.0 ,8.0 ,6.5 ,6.0 ,7.0 ,7.0 ,6.0 ,6.0 ,7.0 
10423,9.5 ,9.5 ,9.0 ,9.5 ,9.5 ,9.5 ,9.5 ,9.0 ,9.0 ,9.5 
10421,8.5 ,8.5 ,9.0 ,7.0 ,8.0 ,8.0 ,10.0 ,9.5 ,6.0 ,8.5 
10377,8.5 ,9.3 ,9.2 ,8.7 ,9.0 ,8.0 ,9.5 ,8.2 ,8.5 ,9.0 
10130,9.5 ,9.0 ,9.0 ,9.0 ,8.5 ,9.0 ,9.5 ,9.5 ,9.5 ,9.0 
10342,10.0 ,9.0 ,10.0 ,9.0 ,9.0 ,10.0 ,10.0 ,10.0 ,10.0 ,9.0 
10408,8.5 ,7.0 ,9.0 ,7.0 ,8.0 ,8.0 ,9.0 ,9.0 ,8.0 ,8.0 
10234,9.0 ,9.0 ,9.0 ,8.0 ,8.0 ,9.0 ,9.0 ,8.0 ,8.0 ,9.0 
10236,9.0 ,8.0 ,9.0 ,8.0 ,8.0 ,8.0 ,9.0 ,8.0 ,8.0 ,9.0 
10356,9.5,8.5,9,8.5,9,9,9,9,8,9
10366,9.0 ,9.0 ,8.5 ,9.0 ,9.0 ,9.0 ,9.5 ,9.5 ,9.5 ,8.5 
10381,8.0 ,8.0 ,8.0 ,8.0 ,9.0 ,8.5 ,7.0 ,9.0 ,8.5 ,8.5 
10331,9.0 ,8.5 ,8.5 ,8.5 ,8.0 ,9.0 ,10.0 ,10.0 ,10.0 ,9.0 
10416,7.5 ,7.5 ,7.0 ,7.0 ,7.5 ,7.0 ,7.5 ,8.0 ,7.0 ,7.5 
10405,9.0 ,9.0 ,9.5 ,9.0 ,9.0 ,9.0 ,9.0 ,9.0 ,9.0 ,9.0 
10081,9.5 ,9.3 ,9.0 ,9.2 ,8.5 ,9.0 ,9.0 ,9.0 ,9.5 ,8.5 
10299,9.5 ,9.5 ,9.0 ,9.0 ,9.5 ,9.0 ,9.5 ,9.5 ,9.0 ,9.0 
10417,9.0 ,9.0 ,9.0 ,8.0 ,8.0 ,9.0 ,9.5 ,8.0 ,8.0 ,8.0 
10285,8.0 ,7.5 ,8.0 ,7.5 ,7.0 ,7.5 ,8.5 ,7.5 ,6.5 ,8.0 
10343,9.0 ,9.0 ,8.0 ,7.0 ,8.0 ,9.0 ,9.0 ,9.5 ,9.5 ,9.0 
10308,8.5 ,8.0 ,8.0 ,7.5 ,7.5 ,8.0 ,8.5 ,8.5 ,9.0 ,8.0 
10075,9.5 ,8.0 ,9.5 ,8.0 ,8.0 ,9.5 ,9.5 ,9.5 ,9.0 ,9.5 
10369,9.0 ,9.2 ,8.7 ,8.3 ,8.5 ,8.7 ,9.5 ,8.0 ,8.0 ,9.0 
