emp_id,CB,SP,PI,CP,DEP,ML
10056,1,1,2,2,0,1
10064,1,1,2,2,5,1
10074,1,1,3,1,3,1
10075,1,1,3,2,2,1
10081,1,1,3,1,2,1
10082,4,2,5,3,6,2
10091,2,1,3,2,7,1
10093,5,3,5,2,7,4
10111,1,1,3,1,3,1
10130,2,1,2,2,4,1
10142,1,1,1,2,3,1
10149,1,1,2,2,5,1
10164,1,1,1,1,2,1
10175,1,1,1,2,1,1
10179,1,1,3,2,5,1
10182,1,1,2,1,0,1
10187,1,1,1,1,4,1
10194,3,1,2,1,0,1
10203,1,1,3,2,3,1
10204,2,1,2,1,0,1
10217,3,1,3,1,3,1
10233,1,1,1,2,2,1
10236,2,2,4,2,1,4
10252,1,1,2,1,0,1
10258,2,1,2,3,1,1
10260,1,1,1,2,3,1
10266,3,1,1,2,5,1
10269,1,1,3,1,0,1
10275,1,1,2,2,3,1
10280,1,1,3,1,2,1
10285,1,1,3,2,0,1
10291,5,4,4,2,9,2
10292,6,4,6,1,11,7
10296,3,2,4,1,3,1
10306,4,2,3,2,3,3
10321,1,1,3,1,0,1
10328,1,1,1,1,4,1
10329,1,1,3,2,0,1
10330,1,1,1,2,0,1
10331,1,1,2,2,5,1
10335,1,1,4,2,7,1
10336,1,1,2,1,5,1
10341,1,1,3,1,0,1
10356,1,1,1,1,0,1
10359,3,1,4,4,6,3
10366,1,1,4,2,7,1
10369,3,2,2,1,3,2
10371,3,1,2,1,4,1
10373,1,1,2,2,1,1
10381,2,1,3,1,0,1
10382,2,1,1,1,0,1
10384,1,1,2,2,3,1
10385,3,1,2,2,8,1
10386,3,1,3,2,6,2
10389,1,1,2,2,1,1
10403,1,1,1,2,0,1
10405,5,2,4,2,7,2
10408,1,1,1,1,1,1
10413,2,1,1,2,3,1
10417,1,1,1,3,6,1
10418,2,1,1,2,4,1
10419,3,1,3,1,8,1
10421,1,1,2,2,5,1
10423,1,1,2,1,0,1
10426,4,3,1,1,0,2
10429,2,1,4,2,7,1
10430,3,1,1,2,0,1
10432,6,4,7,4,15,7
10434,5,1,3,1,0,4
10437,6,3,3,3,9,4
10438,3,4,1,1,0,1
10442,3,2,3,2,8,3
10445,4,3,3,1,8,3
10447,4,2,2,1,0,3
10449,2,1,2,2,0,1
10450,4,3,2,1,0,3
10451,2,1,3,1,0,2
10452,4,3,2,1,0,1
10455,1,1,3,1,1,1
10458,2,1,2,2,0,1
10461,3,2,4,2,5,5
10476,4,2,1,1,0,2
10477,1,1,1,2,3,1
10482,1,1,3,3,1,1
10484,2,1,2,2,0,1
10494,4,2,2,2,0,3
10496,2,1,2,1,0,2
10497,1,1,1,2,0,1
10498,4,3,1,3,5,1
10500,2,2,3,2,0,5
10502,3,2,4,1,6,1
10503,3,2,2,2,0,2
10504,1,1,3,1,8,2
10506,2,1,3,1,0,1
10507,3,2,3,2,5,4
10508,2,1,2,1,0,2
10509,5,4,3,3,6,5
10511,4,2,3,1,0,2
10515,1,2,2,2,0,1
10516,1,1,3,2,2,1
10518,1,1,3,3,0,2
10522,1,1,1,2,5,1
10523,3,1,3,1,1,1
20054,1,1,2,2,0,1
20061,1,1,1,1,0,1
30009,1,1,2,1,0,1
30026,5,1,5,2,2,4
30039,2,1,2,2,6,1
30057,1,1,3,2,0,1
