17001201700,2017년 신한은행 스마트 전담반 개발 및 유지보수,2997.3999999999983,18|10421:249.0,10258:245.0,10321:237.0,10266:210.0,10179:203.0,10252:203.0,10382:198.0,10093:194.0,10182:193.0,10461:192.0,10386:190.0,10292:190.0,10341:179.0,10378:110.0,10359:91.0,10498:63.3,10493:41.0,10507:9.1
17002201700,2017년 InsideBank 유지보수,2938.0,18|10081:241.0,10280:227.5,10433:224.5,10430:223.0,10458:221.0,10426:217.0,10269:217.0,10460:213.5,10233:211.5,10075:207.5,10381:187.0,10429:178.5,10496:136.0,10259:97.0,10330:93.0,10475:21.0,10451:16.0,10372:6.0
16097101600,사학연금 통합정보시스템 재구축(2차) 용역,904.9999999999999,10|10442:206.5,10142:173.0,10296:168.0,10175:149.89999999999998,10440:122.4,10260:45.0,10064:28.0,10504:5.0,10423:4.2,10082:3.0
17999901715,Synergy Part  Business Support,904.0,17|10111:115.0,10494:113.5,10385:113.0,10194:109.6,10500:88.0,10082:84.0,10332:76.0,10503:54.0,10175:33.4,10358:33.0,10508:18.0,10506:17.0,10343:16.0,10416:16.0,10423:9.0,10384:8.0,10187:0.5
17057101700,신한은행 Super Platform 구축,844.8,20|10299:97.0,10443:83.0,10407:81.0,10336:78.0,10387:76.0,10330:75.0,10074:61.0,10445:46.0,10187:44.5,10378:42.0,10419:32.0,10452:27.0,10457:27.0,10511:19.0,10451:16.0,10454:15.0,10405:14.3,10498:5.0,10444:5.0,10484:1.0
17029101700,(공통)2017년 e-금융 보안강화 및 서비스 고도화,750.0,6|10447:157.0,10379:150.0,10364:150.0,10342:145.0,10403:142.0,10491:6.0
12999901200,휴가,704.03,79|10336:27.0,10286:22.0,10056:21.0,10332:20.5,10208:20.0,10259:20.0,10379:19.0,10075:18.5,10232:18.0,10385:17.0,10444:16.0,10292:16.0,10194:15.530000000000001,10082:15.5,10352:15.5,10266:15.0,10093:15.0,10454:14.0,10233:13.5,10280:13.5,10369:12.5,10382:12.0,10443:12.0,10299:11.0,10182:10.0,10187:10.0,10330:10.0,10451:10.0,10269:10.0,10387:10.0,10445:9.0,10364:9.0,10343:9.0,10341:9.0,10433:8.5,10258:8.0,10204:8.0,10371:8.0,10430:8.0,10447:8.0,10236:7.0,10421:7.0,10111:7.0,10423:7.0,10383:7.0,10419:7.0,10378:6.9,10460:6.0,10179:6.0,10130:6.0,10308:6.0,10417:6.0,10426:6.0,10142:5.0,10416:5.0,10452:5.0,10405:5.0,10291:4.5,10384:4.0,10321:4.0,10074:4.0,10149:4.0,10494:3.5,10091:3.0,10389:3.0,10476:3.0,10175:3.0,10408:2.5,10491:2.0,10482:2.0,10499:2.0,10436:2.0,10448:2.0,10331:2.0,10418:1.0,10477:1.0,10413:1.0,10498:1.0,10429:0.1
17023201700,국민연금 주거래시스템 유지보수 도급(4차년도) 계약,694.7,4|10149:237.0,10091:222.0,10164:129.0,10130:106.7
16098201600,2017년 기업은행 스마트뱅킹 상시 운영 전담반,692.9,6|10236:231.0,10456:167.0,10208:102.9,10477:98.0,10492:83.0,10435:11.0
16888901614,연구소지원업무,534.9,7|10074:131.0,10187:116.4,10308:101.0,10291:98.0,10448:71.5,10458:13.0,10449:4.0
